customer_id,signup_date,churn_date,duration_days,churn_event,plan_type,region,channel
1,2025-05-10,2025-10-20,163,1,Pro,MENA,Social
2,2025-11-10,2025-12-31,51,0,Basic,NA,Email
3,2023-05-02,2023-05-12,10,1,Basic,APAC,Referral
4,2024-04-11,2025-12-31,629,0,Pro,LATAM,Social
5,2023-11-27,2025-03-06,465,1,Basic,EU,Referral
6,2023-03-29,2025-12-31,1008,0,Pro,NA,Referral
7,2025-05-21,2025-12-03,196,1,Pro,NA,Social
8,2023-05-11,2025-03-23,682,1,Basic,LATAM,Organic
9,2025-02-08,2025-12-31,326,0,Basic,EU,Organic
10,2023-12-10,2023-12-27,17,1,Basic,APAC,Organic
11,2025-03-16,2025-03-27,11,1,Basic,APAC,Ads
12,2024-01-21,2024-07-02,163,1,Basic,NA,Email
13,2025-08-13,2025-09-01,19,1,Basic,NA,Social
14,2023-10-04,2023-11-13,40,1,Enterprise,NA,Affiliate
15,2024-04-04,2024-08-15,133,1,Basic,NA,Ads
16,2023-01-22,2023-06-07,136,1,Pro,NA,Social
17,2023-09-10,2024-02-14,157,1,Basic,NA,Organic
18,2025-01-17,2025-11-27,314,1,Basic,APAC,Referral
19,2025-05-06,2025-06-07,32,1,Basic,NA,Affiliate
20,2024-04-19,2025-08-17,485,1,Pro,EU,Organic
21,2025-12-18,2025-12-31,13,0,Basic,NA,Social
22,2024-05-25,2025-12-31,585,0,Pro,EU,Affiliate
23,2024-11-30,2025-12-31,396,0,Basic,APAC,Ads
24,2025-09-02,2025-12-31,120,0,Basic,NA,Organic
25,2023-07-09,2025-10-10,824,1,Basic,NA,Referral
26,2025-08-15,2025-11-21,98,1,Basic,APAC,Ads
27,2024-11-17,2025-12-31,409,0,Basic,EU,Affiliate
28,2025-08-15,2025-12-31,138,0,Pro,NA,Organic
29,2024-07-16,2025-03-22,249,1,Pro,APAC,Referral
30,2025-04-11,2025-12-14,247,1,Pro,NA,Ads
31,2024-10-08,2025-12-31,449,0,Pro,EU,Ads
32,2023-01-21,2025-06-06,867,1,Enterprise,NA,Ads
33,2025-04-20,2025-05-19,29,1,Enterprise,EU,Organic
34,2023-06-16,2023-06-16,0,1,Basic,APAC,Email
35,2024-01-23,2025-06-17,511,1,Basic,LATAM,Affiliate
36,2024-08-23,2025-03-31,220,1,Basic,MENA,Organic
37,2023-11-12,2024-07-30,261,1,Basic,EU,Organic
38,2023-01-14,2025-12-31,1082,0,Enterprise,MENA,Organic
39,2023-08-30,2023-10-20,51,1,Basic,APAC,Organic
40,2025-02-15,2025-02-28,13,1,Pro,EU,Ads
41,2024-07-18,2024-10-10,84,1,Pro,LATAM,Ads
42,2025-06-16,2025-12-31,198,0,Basic,EU,Organic
43,2023-04-02,2023-06-14,73,1,Basic,EU,Email
44,2025-08-13,2025-12-31,140,0,Basic,NA,Social
45,2024-05-23,2025-12-31,587,0,Basic,APAC,Referral
46,2025-02-14,2025-12-31,320,0,Basic,NA,Ads
47,2023-02-04,2023-05-01,86,1,Basic,NA,Email
48,2023-07-25,2025-04-23,638,1,Basic,SA,Ads
49,2025-10-22,2025-12-31,70,0,Basic,NA,Ads
50,2025-10-18,2025-12-31,74,0,Basic,NA,Ads
51,2024-07-19,2025-12-31,530,0,Basic,MENA,Organic
52,2024-12-03,2025-01-05,33,1,Pro,NA,Organic
53,2024-02-06,2024-11-09,277,1,Basic,NA,Ads
54,2024-12-30,2025-10-28,302,1,Pro,APAC,Social
55,2023-06-11,2023-11-28,170,1,Pro,NA,Email
56,2023-07-21,2024-02-03,197,1,Pro,SA,Affiliate
57,2025-09-22,2025-12-31,100,0,Basic,NA,Ads
58,2023-09-27,2025-12-31,826,0,Basic,APAC,Ads
59,2025-03-26,2025-05-03,38,1,Basic,NA,Organic
60,2024-03-31,2024-06-02,63,1,Basic,NA,Ads
61,2025-10-13,2025-12-31,79,0,Enterprise,NA,Ads
62,2023-10-23,2024-07-16,267,1,Basic,NA,Ads
63,2024-12-20,2025-12-31,376,0,Enterprise,EU,Ads
64,2023-12-04,2024-12-09,371,1,Pro,EU,Referral
65,2025-05-28,2025-11-11,167,1,Basic,LATAM,Referral
66,2025-12-12,2025-12-31,19,0,Pro,NA,Social
67,2025-03-02,2025-08-01,152,1,Basic,EU,Affiliate
68,2023-08-05,2025-10-24,811,1,Basic,NA,Ads
69,2025-02-02,2025-03-24,50,1,Basic,EU,Ads
70,2023-07-07,2025-12-31,908,0,Enterprise,EU,Organic
71,2024-01-15,2025-12-31,716,0,Basic,EU,Organic
72,2024-05-07,2025-07-22,441,1,Pro,NA,Organic
73,2025-11-30,2025-12-31,31,0,Basic,APAC,Organic
74,2023-01-15,2024-01-11,361,1,Basic,APAC,Ads
75,2023-03-06,2023-10-31,239,1,Basic,NA,Email
76,2024-06-04,2024-10-13,131,1,Basic,NA,Ads
77,2024-10-09,2025-03-05,147,1,Basic,EU,Affiliate
78,2025-12-22,2025-12-31,9,0,Basic,MENA,Ads
79,2024-08-15,2025-03-31,228,1,Pro,NA,Ads
80,2024-01-27,2024-05-09,103,1,Basic,APAC,Organic
81,2024-02-23,2024-03-07,13,1,Enterprise,EU,Ads
82,2023-10-16,2024-01-20,96,1,Basic,EU,Email
83,2024-01-14,2024-03-29,75,1,Basic,MENA,Ads
84,2023-08-19,2023-12-28,131,1,Basic,SA,Organic
85,2025-10-14,2025-12-31,78,0,Basic,NA,Referral
86,2023-02-10,2025-12-31,1055,0,Enterprise,LATAM,Ads
87,2025-11-17,2025-12-03,16,1,Pro,APAC,Social
88,2023-05-15,2023-10-03,141,1,Pro,EU,Organic
89,2023-07-20,2024-03-10,234,1,Pro,APAC,Ads
90,2025-02-18,2025-08-06,169,1,Pro,SA,Social
91,2025-07-18,2025-12-31,166,0,Pro,EU,Social
92,2025-11-22,2025-12-31,39,0,Pro,MENA,Ads
93,2025-12-07,2025-12-31,24,0,Basic,APAC,Affiliate
94,2024-05-17,2024-12-01,198,1,Basic,EU,Email
95,2024-02-11,2025-09-11,578,1,Pro,APAC,Referral
96,2025-03-15,2025-07-10,117,1,Basic,APAC,Social
97,2023-04-09,2023-10-30,204,1,Pro,EU,Referral
98,2024-11-14,2025-02-09,87,1,Basic,EU,Affiliate
99,2024-12-26,2025-12-31,370,0,Pro,APAC,Email
100,2025-08-18,2025-11-04,78,1,Basic,LATAM,Affiliate
101,2024-09-04,2025-12-31,483,0,Basic,NA,Organic
102,2024-10-04,2025-05-09,217,1,Basic,NA,Organic
103,2025-10-25,2025-12-31,67,0,Pro,EU,Social
104,2024-05-17,2025-02-06,265,1,Basic,EU,Ads
105,2025-02-05,2025-08-14,190,1,Pro,NA,Social
106,2024-02-02,2025-12-31,698,0,Pro,APAC,Organic
107,2025-05-20,2025-12-31,225,0,Basic,MENA,Email
108,2025-03-05,2025-12-31,301,0,Enterprise,EU,Social
109,2024-01-28,2024-10-12,258,1,Basic,LATAM,Social
110,2023-07-26,2023-08-15,20,1,Pro,LATAM,Organic
111,2025-11-04,2025-11-15,11,1,Basic,NA,Social
112,2025-06-10,2025-12-31,204,0,Basic,APAC,Referral
113,2025-05-13,2025-12-31,232,0,Basic,EU,Organic
114,2025-01-12,2025-06-22,161,1,Pro,MENA,Email
115,2024-07-17,2025-12-31,532,0,Enterprise,NA,Organic
116,2025-10-17,2025-12-31,75,0,Basic,NA,Organic
117,2023-04-06,2024-08-24,506,1,Basic,NA,Affiliate
118,2024-04-29,2025-12-31,611,0,Enterprise,NA,Referral
119,2023-08-19,2025-12-15,849,1,Basic,NA,Email
120,2025-01-18,2025-05-21,123,1,Basic,NA,Ads
121,2024-06-24,2025-12-31,555,0,Basic,EU,Organic
122,2025-11-25,2025-12-31,36,0,Basic,EU,Email
123,2024-06-08,2025-02-01,238,1,Pro,NA,Ads
124,2024-07-31,2025-12-31,518,0,Enterprise,APAC,Organic
125,2024-11-12,2025-06-01,201,1,Basic,NA,Email
126,2024-07-10,2025-12-31,539,0,Pro,NA,Referral
127,2025-10-09,2025-12-31,83,0,Pro,APAC,Organic
128,2024-10-07,2025-01-22,107,1,Basic,NA,Social
129,2025-03-06,2025-12-31,300,0,Basic,EU,Email
130,2025-11-17,2025-12-31,44,0,Pro,NA,Social
131,2023-07-09,2024-10-24,473,1,Basic,LATAM,Organic
132,2024-09-24,2025-12-31,463,0,Basic,LATAM,Organic
133,2024-09-19,2025-12-31,468,0,Enterprise,NA,Ads
134,2025-08-30,2025-12-31,123,0,Pro,EU,Ads
135,2024-12-10,2025-12-31,386,0,Enterprise,NA,Ads
136,2024-10-10,2024-12-26,77,1,Basic,NA,Affiliate
137,2023-11-14,2024-09-10,301,1,Pro,NA,Organic
138,2024-11-14,2025-12-31,412,0,Pro,LATAM,Referral
139,2024-10-25,2025-12-31,432,0,Enterprise,NA,Email
140,2024-03-17,2025-12-31,654,0,Enterprise,APAC,Ads
141,2024-07-17,2024-10-10,85,1,Enterprise,MENA,Ads
142,2025-08-09,2025-12-31,144,0,Enterprise,EU,Referral
143,2024-11-29,2025-06-30,213,1,Basic,MENA,Ads
144,2023-04-23,2023-07-16,84,1,Pro,MENA,Affiliate
145,2023-01-02,2024-08-06,582,1,Basic,APAC,Organic
146,2024-10-03,2025-12-31,454,0,Pro,EU,Organic
147,2023-08-08,2025-12-31,876,0,Enterprise,APAC,Social
148,2025-05-04,2025-12-31,241,0,Basic,MENA,Organic
149,2024-01-20,2025-06-05,502,1,Basic,APAC,Affiliate
150,2025-12-12,2025-12-31,19,0,Pro,NA,Social
151,2024-12-30,2025-01-26,27,1,Basic,LATAM,Organic
152,2023-09-04,2024-02-27,176,1,Basic,SA,Affiliate
153,2025-04-15,2025-11-05,204,1,Basic,EU,Referral
154,2023-07-22,2025-12-31,893,0,Basic,APAC,Referral
155,2023-05-03,2023-09-27,147,1,Pro,EU,Ads
156,2024-02-05,2024-10-15,253,1,Basic,NA,Organic
157,2025-02-05,2025-08-25,201,1,Basic,NA,Organic
158,2023-10-21,2025-12-31,802,0,Enterprise,NA,Ads
159,2023-10-07,2024-09-15,344,1,Pro,APAC,Ads
160,2025-06-02,2025-12-02,183,1,Basic,EU,Email
161,2023-07-17,2023-10-10,85,1,Basic,NA,Referral
162,2025-09-08,2025-12-09,92,1,Pro,NA,Organic
163,2025-01-21,2025-12-31,344,0,Basic,NA,Email
164,2023-05-24,2023-06-10,17,1,Pro,APAC,Affiliate
165,2024-08-31,2025-04-19,231,1,Pro,NA,Ads
166,2023-07-06,2024-07-07,367,1,Basic,NA,Ads
167,2024-04-08,2025-05-27,414,1,Enterprise,MENA,Email
168,2024-10-21,2025-12-31,436,0,Basic,EU,Referral
169,2025-02-02,2025-12-31,332,0,Basic,APAC,Ads
170,2025-08-12,2025-12-31,141,0,Enterprise,EU,Affiliate
171,2024-02-07,2024-07-10,154,1,Basic,NA,Referral
172,2023-05-27,2025-02-20,635,1,Pro,NA,Organic
173,2025-05-13,2025-12-31,232,0,Pro,EU,Email
174,2024-05-03,2024-10-22,172,1,Basic,EU,Ads
175,2025-07-17,2025-12-31,167,0,Enterprise,EU,Referral
176,2024-07-04,2025-12-31,545,0,Basic,APAC,Ads
177,2023-12-04,2024-02-14,72,1,Basic,EU,Organic
178,2025-05-21,2025-12-31,224,0,Enterprise,NA,Email
179,2024-10-02,2024-10-24,22,1,Basic,LATAM,Ads
180,2024-04-17,2025-12-31,623,0,Pro,NA,Referral
181,2023-05-31,2023-08-29,90,1,Pro,MENA,Affiliate
182,2023-09-20,2024-03-10,172,1,Basic,LATAM,Ads
183,2023-05-24,2023-11-24,184,1,Basic,NA,Ads
184,2023-12-12,2025-04-05,480,1,Basic,SA,Organic
185,2024-09-15,2025-01-15,122,1,Pro,LATAM,Email
186,2025-10-13,2025-12-31,79,0,Basic,SA,Referral
187,2025-05-30,2025-12-31,215,0,Basic,APAC,Affiliate
188,2023-01-02,2024-02-02,396,1,Basic,MENA,Ads
189,2025-06-15,2025-12-31,199,0,Basic,APAC,Organic
190,2023-09-11,2025-12-12,823,1,Pro,LATAM,Email
191,2024-03-28,2025-12-31,643,0,Enterprise,APAC,Email
192,2025-11-26,2025-12-31,35,0,Basic,MENA,Social
